causative_agent,date_of_outbreak
Group B Streptococcal disease (neonatal),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Influenza A (H1N1),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Respiratory syncytial virus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Unable to identify,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Norovirus,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Coronavirus*,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Parainfluenza,2023_end
Parainfluenza,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Enterovirus/Rhinovirus,2023_end
Rhinovirus,2023_end
Coronavirus*,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
Metapneumovirus,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Unable to identify,2023_end
Respiratory syncytial virus,2023_end
Norovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
Parainfluenza,2023_end
Rhinovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
Enterovirus,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Enterovirus/Rhinovirus,2023_end
Metapneumovirus,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Unable to identify,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Parainfluenza PIV III,2023_end
Parainfluenza,2023_end
Unable to identify,2023_end
Influenza A (Not subtyped),2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
COVID-19,2023_end
Rhinovirus,2023_end
COVID-19,2023_end
Parainfluenza,2023_end
Parainfluenza,2023_end
Metapneumovirus,2023_end
Rhinovirus,2023_end
Unable to identify,2023_end
Enterovirus/Rhinovirus,2023_end
COVID-19,2023_end
COVID-19,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
Enterovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Parainfluenza,2023_begin
Coronavirus*,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Rhinovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Influenza A (H1N1),2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
Rhinovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
Parainfluenza PIV III,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Norovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Parainfluenza PIV III,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
Respiratory syncytial virus,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
Unable to identify,2023_begin
Rhinovirus,2023_begin
COVID-19,2023_begin
Streptococcus pyogenes,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Norovirus,2023_begin
Rhinovirus,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
Coronavirus*,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
Enterovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Rhinovirus,2023_begin
COVID-19,2023_begin
Enterovirus/Rhinovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
Norovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Parainfluenza PIV III,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Enterovirus/Rhinovirus,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
Norovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
Enterovirus/Rhinovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Parainfluenza PIV III,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
CPE Enterobacter unspecified (NDM),2023_begin
Coronavirus*,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Influenza A (Not subtyped),2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
Norovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
Unable to identify,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
Respiratory syncytial virus,2023_begin
Unable to identify,2023_begin
Unable to identify,2023_begin
Metapneumovirus,2023_begin
Norovirus,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Rhinovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
Respiratory syncytial virus,2023_begin
Coronavirus*,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Rhinovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Norovirus,2023_begin
Enterovirus/Rhinovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
Metapneumovirus,2023_begin
Enterovirus/Rhinovirus,2023_begin
Influenza A (Not subtyped),2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
Coronavirus*,2023_begin
Rhinovirus,2023_begin
Respiratory syncytial virus,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Norovirus,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
Enterovirus/Rhinovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Enterovirus,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Norovirus,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
Unable to identify,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Rhinovirus,2023_begin
Coronavirus*,2023_begin
Rhinovirus,2023_begin
Rhinovirus,2023_begin
COVID-19,2023_begin
Norovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
CPE Unspecified (KPC),2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
Enterovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
Norovirus,2023_begin
Respiratory syncytial virus,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
Parainfluenza,2023_begin
Influenza A (Not subtyped),2023_begin
Norovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Influenza A (Not subtyped),2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
Metapneumovirus,2023_begin
Rhinovirus,2023_begin
Unable to identify,2023_begin
Respiratory syncytial virus,2023_begin
Respiratory syncytial virus,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
Parainfluenza PIV III,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
Influenza A (H3),2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Parainfluenza,2023_begin
Respiratory syncytial virus,2023_begin
Norovirus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Influenza A (Not subtyped),2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
Enterovirus/Rhinovirus,2023_begin
Parainfluenza,2023_begin
Respiratory syncytial virus,2023_begin
Unable to identify,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Enterovirus,2023_begin
Influenza A (Not subtyped),2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
Respiratory syncytial virus,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Coronavirus*,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Norovirus,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
Unable to identify,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Influenza A (Not subtyped),2023_begin
Respiratory syncytial virus,2023_begin
Parainfluenza,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Respiratory syncytial virus,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
COVID-19,2023_begin
Influenza A (Not subtyped),2023_begin
Influenza A (Not subtyped),2022_end
COVID-19,2022_end
COVID-19,2022_end
Respiratory syncytial virus,2022_end
COVID-19,2022_end
COVID-19,2022_end
Respiratory syncytial virus,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
Unable to identify,2022_end
CPE Unspecified (NDM),2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
Respiratory syncytial virus,2022_end
Respiratory syncytial virus,2022_end
Norovirus-like,2022_end
Influenza A (Not subtyped),2022_end
COVID-19,2022_end
Norovirus-like,2022_end
COVID-19,2022_end
COVID-19,2022_end
Respiratory syncytial virus,2022_end
Norovirus-like,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
Respiratory syncytial virus,2022_end
COVID-19,2022_end
Influenza A (Not subtyped),2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
Norovirus-like,2022_end
COVID-19,2022_end
Respiratory syncytial virus,2022_end
COVID-19,2022_end
COVID-19,2022_end
COVID-19,2022_end
